epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5715,2.10005,4.60511,1.74354,0.00132,0.12903,0.00114,0.00064,1.77745,3.90072,1.66934,0.00012861,0.00012861,0.00012861
2,24.7905,1.93593,3.47013,1.48723,0.00358,0.26882,0.19747,0.10405,1.68594,3.6359,1.36975,0.000266134,0.000266134,0.000266134
3,33.1815,1.78753,2.81159,1.3424,0.00864,0.39785,0.18487,0.08405,1.70128,3.49697,1.3212,0.000397999,0.000397999,0.000397999
4,42.9646,1.68817,2.18026,1.38097,0.01137,0.45161,0.31085,0.17473,1.67099,3.31741,1.35155,0.000524206,0.000524206,0.000524206
5,53.9815,1.61658,2.0215,1.3547,0.00697,0.48387,0.37128,0.22236,1.61653,3.24507,1.39223,0.000644753,0.000644753,0.000644753
6,64.8881,1.5366,1.84897,1.28541,0.00636,0.49462,0.37085,0.20885,1.66032,3.08277,1.31631,0.000759642,0.000759642,0.000759642
7,75.3146,1.61908,1.81773,1.27665,0.13504,0.52688,0.39206,0.19966,1.65602,2.85043,1.27467,0.000868872,0.000868872,0.000868872
8,85.7262,1.58087,1.81725,1.28698,0.73203,0.17351,0.36806,0.21496,1.63101,2.61307,1.25073,0.000972443,0.000972443,0.000972443
9,93.5926,1.51135,1.70434,1.25276,0.90217,0.26882,0.61983,0.33249,1.56169,2.38351,1.24731,0.00107036,0.00107036,0.00107036
10,101.449,1.46218,1.65282,1.27127,0.75096,0.47312,0.69692,0.37203,1.59328,1.9408,1.31199,0.00116261,0.00116261,0.00116261
11,110.105,1.49418,1.59157,1.26698,0.86498,0.48387,0.7297,0.37191,1.58542,1.8956,1.27942,0.00114606,0.00114606,0.00114606
12,121.044,1.50098,1.58472,1.25187,0.70048,0.68694,0.70044,0.38538,1.58837,1.65995,1.3661,0.00111776,0.00111776,0.00111776
13,131.368,1.47243,1.49368,1.22471,0.70918,0.62726,0.68477,0.38233,1.59333,1.66921,1.40184,0.00108947,0.00108947,0.00108947
14,141.038,1.45225,1.45911,1.22709,0.74398,0.72594,0.7492,0.38732,1.64755,1.38455,1.39763,0.00106118,0.00106118,0.00106118
15,149.044,1.45199,1.44008,1.22236,0.67424,0.69723,0.70906,0.37521,1.64639,1.45428,1.33858,0.00103288,0.00103288,0.00103288
